Concept,paragraph,definitions,similarity,Verbe,noed_connected,key_list
strategy for threat,"five alternative strategy may be consider for deal with threat , as follows : 
  escalate . escalation be appropriate when the project team or the project sponsor agree that a threat be outside 
 the scope of the project or that the propose response would exceed the project manager ’s authority . escalate 
 risk be manage at the program level , portfolio level , or other relevant part of the organization , and not on the 
 project level . the project manager determine who should be notify about the threat and communicate the 
 detail to that person or part of the organization . it be important that ownership of escalate threat be accept 
 by the relevant party in the organization . threat be usually escalate to the level that match the objective 
 that would be affect if the threat occur . escalate threat be not monitor far by the project team after 
 escalation , although they may be record in the risk register for information . 
  avoid . risk avoidance be when the project team act to eliminate the threat or protect the project from its 
 impact . it may be appropriate for high - priority threat with a high probability of occurrence and a large negative 
 impact . avoidance may involve change some aspect of the project management plan or change the objective 
 that be in jeopardy in order to eliminate the threat entirely , reduce its probability of occurrence to zero . the 
 risk owner may also take action to isolate the project objective from the risk ’s impact if it be to occur . 
 example of avoidance action may include remove the cause of a threat , extend the schedule , change the 
 project strategy , or reduce scope . some risk can be avoid by clarify requirement , obtain information , 
 improve communication , or acquire expertise . 
  transfer . transfer involve shift ownership of a threat to a third party to manage the risk and to bear the 
 impact if the threat occur . risk transfer often involve payment of a risk premium to the party take on the 
 threat . transfer can be achieve by a range of action , which include but be not limit to the use of insurance , 
 performance bond , warranty , guarantee , etc . agreement may be use to transfer ownership and liability for 
 specify risk to another party . 
  mitigate . in risk mitigation , action be take to reduce the probability of occurrence and/or impact of a threat . early 
 mitigation action be often more effective than try to repair the damage after the threat have occur . adopt 
 less complex process , conduct more test , or choose a more stable seller be example of mitigation 
 action . mitigation may involve prototype development ( see section 5.2.2.8 ) to reduce the risk of scale up from 
 a bench - scale model of a process or product . where it be not possible to reduce probability , a mitigation response 
 might reduce the impact by target factor that drive the severity . for example , design redundancy into a 
 system may reduce the impact from a failure of the original component . 
  accept . risk acceptance acknowledge the existence of a threat , but no proactive action be take . this strategy 
 may be appropriate for low - priority threat , and it may also be adopt where it be not possible or cost - effective 
 to address a threat in any other way . acceptance can be either active or passive . the most common active 
 acceptance strategy be to establish a contingency reserve , include amount of time , money , or resource to 
 handle the threat if it occur . passive acceptance involve no proactive action apart from periodic review of the 
 threat to ensure that it do not change significantly . 
 ",escalate,[],be,"['strategy for overall project risk', 'strategy for opportunity', 'plan risk response']","['threat', 'escalation', 'risk', 'mitigation', 'avoid']"
strategy for opportunity,"five alternative strategy may be consider for deal with opportunity , as follows : 
  escalate . this risk response strategy be appropriate when the project team or the project sponsor agree that 
 an opportunity be outside the scope of the project or that the propose response would exceed the project 
 manager ’s authority . escalate opportunity be manage at the program level , portfolio level , or other relevant 
 part of the organization , and not on the project level . the project manager determine who should be notify 
 about the opportunity and communicate the detail to that person or part of the organization . it be important 
 that ownership of escalate opportunity be accept by the relevant party in the organization . opportunity 
 be usually escalate to the level that match the objective that would be affect if the opportunity occur . 
 escalate opportunity be not monitor far by the project team after escalation , although they may be 
 record in the risk register for information . 
  exploit . the exploit strategy may be select for high - priority opportunity where the organization want to 
 ensure that the opportunity be realize . this strategy seek to capture the benefit associate with a particular 
 opportunity by ensure that it definitely happen , increase the probability of occurrence to 100 % . example of 
 exploiting response may include assign an organization ’s most talented resource to the project to reduce 
 the time to completion , or use new technology or technology upgrade to reduce cost and duration . 
  share . share involve transfer ownership of an opportunity to a third party so that it share some of the 
 benefit if the opportunity occur . it be important to select the new owner of a share opportunity carefully so they 
 be well able to capture the opportunity for the benefit of the project . risk sharing often involve payment of a 
 risk premium to the party take on the opportunity . example of share action include form risk - share 
 partnership , team , special - purpose company , or joint venture . 
  enhance . the enhance strategy be use to increase the probability and/or impact of an opportunity . early 
 enhancement action be often more effective than try to improve the benefit after the opportunity have occur . 
 the probability of occurrence of an opportunity may be increase by focus attention on its cause . where it 
 be not possible to increase probability , an enhancement response might increase the impact by target factor 
 that drive the size of the potential benefit . example of enhance opportunity include add more resource 
 to an activity to finish early . 
  accept . accept an opportunity acknowledge its existence but no proactive action be take . this strategy may 
 be appropriate for low - priority opportunity , and it may also be adopt where it be not possible or cost - effective 
 to address an opportunity in any other way . acceptance can be either active or passive . the most common active 
 acceptance strategy be to establish a contingency reserve , include amount of time , money , or resource to take 
 advantage of the opportunity if it occur . passive acceptance involve no proactive action apart from periodic 
 review of the opportunity to ensure that it do not change significantly . 
 ",escalate,[],be,"['strategy for overall project risk', 'strategy for threat', 'contingent response strategy']","['strategy', 'exploiting', 'exploit', 'opportunity', 'escalation']"
contingent response strategy,"some response be design for use only if certain event occur . for some risk , it be appropriate for the project 
 team to make a response plan that will only be execute under certain predefine condition , if it be believe that 
 there will be sufficient warning to implement the plan . event that trigger the contingency response , such as miss 
 intermediate milestone or gain high priority with a seller , should be define and track . risk response 
 identify use this technique be often call contingency plan or fallback plan and include identify trigger 
 event that set the plan in effect . 
 ",fallback plan,[],be,"['implement risk response', 'plan risk management', 'risk management plan']","['contingency', 'risk', 'response', 'event', 'trigger']"
strategy for overall project risk,"risk response should be plan and implement not only for individual project risk but also to address overall 
 project risk . the same risk response strategy that be use to deal with individual project risk can also be apply to 
 overall project risk : 
  avoid . where the level of overall project risk be significantly negative and outside the agree - upon risk 
 threshold for the project , an avoid strategy may be adopt . this involve take focused action to reduce 
 the negative effect of uncertainty on the project as a whole and bring the project back within the threshold . 
 an example of avoidance at the overall project level would include removal of high - risk element of scope 
 from the project . where it be not possible to bring the project back within the threshold , the project may be 
 cancel . this represent the most extreme degree of risk avoidance and it should be use only if the overall 
 level of threat be , and will remain , unacceptable . 
  exploit . where the level of overall project risk be significantly positive and outside the agree - upon risk threshold 
 for the project , an exploit strategy may be adopt . this involve take focused action to capture the positive 
 effect of uncertainty on the project as a whole . an example of exploit at the overall project level would include 
 addition of high - benefit element of scope to the project to add value or benefit to stakeholder . alternatively 
 the risk threshold for the project may be modify with the agreement of key stakeholder in order to embrace 
 the opportunity . 
  transfer / share . if the level of overall project risk be high but the organization be unable to address it effectively , 
 a third party may be involve to manage the risk on behalf of the organization . where overall project risk be 
 negative , a transfer strategy be require , which may involve payment of a risk premium . in the case of high 
 positive overall project risk , ownership may be share in order to reap the associate benefit . example of 
 both transfer and share strategy for overall project risk include but be not limit to set up a collaborative 
 business structure in which the buyer and the seller share the overall project risk , launch a joint venture or 
 special - purpose company , or subcontract key element of the project . 
  mitigate / enhance . these strategy involve change the level of overall project risk to optimize the chance 
 of achieve the project ’s objective . the mitigation strategy be use where overall project risk be negative , and 
 enhancement apply when it be positive . example of mitigation or enhancement strategy include replanne 
 the project , change the scope and boundary of the project , modify project priority , change resource 
 allocation , adjust delivery time , etc . 
  accept . where no proactive risk response strategy be possible to address overall project risk , the organization 
 may choose to continue with the project as currently define , even if overall project risk be outside the agreed- 
 upon threshold . acceptance can be either active or passive . the most common active acceptance strategy be 
 to establish an overall contingency reserve for the project , include amount of time , money , or resource to be 
 use if the project exceed its threshold . passive acceptance involve no proactive action apart from periodic 
 review of the level of overall project risk to ensure that it do not change significantly . 
 ",avoid,[],be,"['strategy for threat', 'strategy for opportunity', 'project management plan']","['risk', 'mitigation', 'avoidance', 'mitigate', 'strategy']"
datum analysis,"a number of alternative risk response strategy may be consider . datum analysis technique that can be use to 
 select a preferred risk response strategy include but be not limit to : 
  alternative analysis . a simple comparison of the characteristic and requirement of alternative risk response 
 option can lead to a decision on which response be most appropriate . 
  cost - benefit analysis . if the impact of an individual project risk can be quantify in monetary term , then the 
 cost - effectiveness of alternative risk response strategy can be determine use cost - benefit analysis ( see 
 section 8.1.2.3 ) . the ratio of ( change in impact level ) divide by ( implementation cost ) give the cost effectiveness 
 of the response strategy , with a high ratio indicate a more effective response . 
 ",alternative analysis,"['datum analysis', 'datum analysis', 'datum analysis']",be,"['strategy for overall project risk', 'contingent response strategy', 'implement risk response']","['risk', 'effectiveness', 'strategy', 'analysis', 'alternative']"
decision make,"decision - make technique that can be use to select a risk response strategy include but be not limited to 
 multicriteria decision analysis ( describe in section 8.1.2.4 ) . one or more risk response strategy may be under 
 consideration . decision - make technique can help prioritize risk response strategy . multicriteria decision analysis 
 use a decision matrix to provide a systematic approach for establish key decision criterion , evaluate and ranking 
 alternative , and select a preferred option . criterion for risk response selection may include but be not limited to 
 cost of response , likely effectiveness of response in change probability and/or impact , resource availability , timing 
 constraint ( urgency , proximity , and dormancy ) , level of impact if the risk occur , effect of response on related risk , 
 introduction of secondary risk , etc . different strategy may be select later in the project if the original choice prove 
 to be ineffective . 
 ",multicriteria decision analysis,[],be,"['plan risk response', 'strategy for overall project risk', 'contingent response strategy']","['multicriteria', 'risk', 'prioritize', 'strategy', 'decision']"
change request,"describe in section 4.3.3.4 . plan risk response may result in a change request to the cost and schedule 
 baseline or other component of the project management plan . change request be process for review and 
 disposition through the perform integrate change control process ( section 4.6 ) . 
 ","process for review and 
 disposition through the perform integrate change control process","['change request', 'change request']",risk,"['change request', 'change request', 'project management plan']","['risk', 'plan', 'process', 'section', 'response']"
project management plan update,"any change to the project management plan go through the organization ’s change control process via a change 
 request . component that may require a change request for the project management plan include but be not limit to : 
  schedule management plan . describe in section 6.1.3.1 . change to the schedule management plan , such as 
 change to resource loading and leveling , or update to the schedule strategy , be incorporate . 
  cost management plan . describe in section 7.1.3.1 . change to the cost management plan , such as change 
 to cost accounting , tracking , and report , as well as update to the budget strategy and how contingency reserve 
 be consume , be incorporate . 
  quality management plan . describe in section 8.1.3.1 . change to the quality management plan , such as 
 change to approach for meeting requirement , quality management approach , or quality control process , 
 be incorporate . 
  resource management plan . describe in section 9.1.3.1 . change to the resource management plan , such as 
 change to resource allocation , as well as update to the resource strategy , be incorporate . 
  procurement management plan . describe in section 12.1.3.1 . change to the procurement management 
 plan , such as alteration in the make - or - buy decision or contract type(s ) , be incorporate . 
  scope baseline . describe in section 5.4.3.1 . change in the scope baseline be incorporate in response to 
 approve change in scope that may arise from agree - upon risk response . 
  schedule baseline . describe in section 6.5.3.1 . change in the schedule baseline be incorporate in response 
 to approve change in schedule estimate that may arise from agree - upon risk response . 
  cost baseline . describe in section 7.3.3.1 . change in the cost baseline be incorporate in response to 
 approve change in cost estimate that may arise from agree - upon risk response . 
 ",scope baseline,"['project management plan', 'project management plan', 'project management plan', 'project management plan', 'project management plan', 'project management plan', 'project management plan', 'project management plan update']",be,"['change request', 'change request', 'plan risk management']","['management', 'resource', 'plan', 'procurement', 'alteration']"
project document update,"project document that may be update as a result of carry out this process include but be not limit to : 
  assumption log . describe in section 4.1.3.2 . during the plan risk response process , new assumption 
 may be make , new constraint may be identify , and exist assumption or constraint may be revisit and 
 change . the assumption log should be update with this new information . 
  cost forecast . describe in section 7.4.3.2 . cost forecast may change as a result of plan risk response . 
  lesson learn register . describe in section 4.4.3.1 . the lesson learn register be update with information 
 about risk response that may be useful for future phase of the project or future project . 
  project schedule . describe in section 6.5.3.2 . activity relate to agree - upon risk response may be add 
 to the project schedule . 
  project team assignment . describe in section 9.3.3.2 . once the response be confirm , the necessary 
 resource should be allocate to each action associate with a risk response plan . these resource include suitably 
 qualified and experienced personnel to execute the agree - upon action ( usually within the project team ) a specific 
 budget and time allowance for the action , and any require technical resource to complete the action . 
  risk register . describe in section 11.2.3.1 . the risk register be update when appropriate risk response be 
 choose and agree upon . update to the risk register may include but be not limit to : 
  agree - upon response strategy ; 
  specific action to implement the choose response strategy ; 
  trigger condition , symptom , and warning sign of a risk occurrence ; 
  budget and schedule activity require to implement the choose response ; 
  contingency plan and risk trigger that call for their execution ; 
  fallback plan for use when a risk that have occur and the primary response prove to be inadequate ; 
  residual risk that be expect to remain after plan response have be take , as well as those that 
 have be deliberately accept ; and 
  secondary risk that arise as a direct outcome of implement a risk response . 
  risk report . describe in section 11.2.3.2 . the risk report may be update to present agree - upon response 
 to the current overall project risk exposure and high - priority risk , together with the expect change that may 
 be expect as a result of implement these response . 
 ",assumption log,"['project document', 'project document', 'project document update', 'project document', 'project document update', 'project document', 'project document update', 'project document', 'project document', 'project document update', 'project document', 'project document update']",be,"['implement risk response', 'project management plan update', 'project management plan update']","['resource', 'assignment', 'plan', 'risk', 'project']"
implement risk response,"implement risk response be the process of implement agree - upon risk response plan . the key benefit of 
 this process be that it ensure that agree - upon risk response be execute as plan in order to address overall 
 project risk exposure , minimize individual project threat , and maximize individual project opportunity . this process be 
 perform throughout the project . the input , tool and technique , and output of the process be depict in figure 
 11 - 18 . figure 11 - 19 depict the data flow diagram for the process . 
 implement risk response 
 figure 11 - 18 . implement risk response : input , tool & technique , and output 
  
 charter 
 figure 11 - 19 . implement risk response : datum flow diagram 
 proper attention to the implement risk response process will ensure that agree - upon risk response be actually 
 execute . a common problem with project risk management be that project team spend effort in identify and 
 analyze risk and develop risk response , then risk response be agree upon and document in the risk register 
 and risk report , but no action be take to manage the risk . 
 only if risk owner give the require level of effort to implement the agree - upon response will the overall risk 
 exposure of the project and individual threat and opportunity be manage proactively . 
 ",the process of implement agree - upon risk response plan,[],be,"['plan risk response', 'plan risk management', 'risk management plan']","['risk', 'threat', 'response', 'process', 'implement']"
project management plan,"describe in section 4.2.3.1 . project management plan component include but be not limit to the risk 
 management plan . describe in section 11.1.3.1 , the risk management plan list the role and responsibility of 
 project team member and other stakeholder for risk management . this information be use when allocate owner 
 for agree - upon risk response . the risk management plan also define the level of detail for the risk management 
 methodology for the project . it also specify risk threshold for the project base on the risk appetite of key stakeholder , 
 which define the acceptable target that the implementation of risk response be require to achieve . 
 ","risk 
 management plan","['project management plan', 'project management plan', 'project management plan', 'project management plan', 'project management plan', 'project management plan update', 'project management plan', 'project management plan update']",be,"['risk management plan', 'project management plan', 'project management plan']","['risk', 'stakeholder', 'responsibility', 'management', 'plan']"
project document,"project document that can be consider as input for this process include but be not limit to : 
  lesson learn register . describe in section 4.4.3.1 . lesson learn early in the project with regard 
 to implement risk response can be apply to later phase in the project to improve the effectiveness 
 of this process . 
  risk register . describe in section 11.2.3.1 . the risk register record the agree - upon risk response for each 
 individual risk and the nominated owner for each response plan . 
  risk report . describe in section 11.2.3.2 . the risk report include an assessment of the current overall project 
 risk exposure , as well as the agree - upon risk response strategy . it also describe the major individual project 
 risk with their plan response . 
 ",lesson learn register,"['project document', 'project document', 'project document update', 'project document', 'project document update', 'project document', 'project document update', 'project document', 'project document update', 'project document update', 'project document', 'project document update']",be,"['risk register', 'implement risk response', 'risk report']","['risk', 'assessment', 'lesson', 'project', 'document']"
organizational process asset,"the organizational process asset that can influence the implement risk response process include but be not 
 limit to the lesson learn repository from similar complete project that indicate the effectiveness of particular 
 risk response . 
 ",lesson learn repository,"['organizational process asset', 'organizational process asset', 'organizational process asset', 'organizational process asset', 'organizational process asset']",influence,"['organizational process asset', 'organizational process asset', 'organizational process asset']","['risk', 'lesson', 'asset', 'process', 'organizational']"
expert judgment,"describe in section 4.1.2.1 . expertise should be consider from individual or group with specialized 
 knowledge to validate or modify risk response if necessary , and decide how to implement they in the most 
 efficient and effective manner . 
 ",efficient and effective manner,"['expert judgment', 'expert judgment', 'expert judgment', 'expert judgment', 'expert judgment']",be,"['plan risk response', 'contingent response strategy', 'identify risk']","['expertise', 'knowledge', 'implement', 'validate', 'risk']"
interpersonal and team skill,"interpersonal and team skill that can be use for this process include but be not limit to influence . some risk 
 response action may be own by people outside the immediate project team or who have other compete demand . 
 the project manager or person responsible for facilitate the risk process may need to exercise influence ( see 
 section 9.5.2.1 ) to encourage nominated risk owner to take necessary action where require . 
 ",influence,"['interpersonal and team skill', 'interpersonal and team skill', 'interpersonal and team skill', 'interpersonal and team skill']",be,"['interpersonal and team skill', 'interpersonal and team skill', 'interpersonal and team skill']","['risk', 'influence', 'responsible', 'interpersonal', 'encourage']"
project management information system ( pmis ),"describe in section 4.3.2.2 . project management information system can include schedule , resource , and cost 
 software to ensure that agree - upon risk response plan and their associate activity be integrate into the project 
 alongside other project activity . 
 ","schedule , resource , and cost",[],include,"['project management plan', 'project management plan', 'project management plan']","['management', 'software', 'resource', 'section', 'information']"
change request,"describe in section 4.3.3.4 . implementation of risk response may result in a change request to the cost and 
 schedule baseline or other component of the project management plan . change request be process for review 
 and disposition through the perform integrate change control process ( section 4.6 ) . 
 ",process for review,"['change request', 'change request']",result,"['change request', 'change request', 'project management plan']","['risk', 'process', 'implementation', 'section', 'response']"
project document update,"project document that may be update as a result of carry out this process include but be not limit to : 
  issue log . describe in section 4.3.3.3 . where issue be identify as part of the implement risk response 
 process , they be record in the issue log . 
  lesson learn register . describe in section 4.4.3.1 . the lesson learn register be update with information 
 on challenge encounter when implement risk response and how they could have be avoid , as well 
 as approach that work well for implement risk response . 
  project team assignment . describe in section 9.3.3.2 . once the risk response be confirm , the necessary 
 resource should be allocate to each action associate with a risk response plan . these resource include 
 suitably qualified and experienced personnel to execute the agree - upon action ( usually within the project team ) , 
 a specific budget and time allowance for the action , and any require technical resource to complete the action . 
  risk register . describe in section 11.2.3.1 . the risk register may be update to reflect any change to the 
 previously agree - upon risk response for individual project risk that be subsequently make as a result of the 
 implement risk response process . 
  risk report . describe in section 11.2.3.2 . the risk report may be update to reflect any change to the 
 previously agree - upon risk response to overall project risk exposure that be subsequently make as a result of 
 the implement risk response process . 
 ",issue log,"['project document', 'project document', 'project document update', 'project document', 'project document update', 'project document', 'project document update', 'project document', 'project document update', 'project document', 'project document', 'project document update']",be,"['plan risk response', 'risk register', 'project document update']","['risk', 'resource', 'assignment', 'lesson', 'document']"
monitor risk,"monitor risk be the process of monitor the implementation of agree - upon risk response plan , track identify 
 risk , identify and analyze new risk , and evaluate risk process effectiveness throughout the project . the key 
 benefit of this process be that it enable project decision to be base on current information about overall project risk 
 exposure and individual project risk . this process be perform throughout the project . the input , tool and technique , 
 and output of the process be depict in figure 11 - 20 . figure 11 - 21 depict the data flow diagram for the process . 
 figure 11 - 20 . monitor risk : input , tool & technique , and output 
  
 charter 
 figure 11 - 21 . monitor risk : datum flow diagram 
 in order to ensure that the project team and key stakeholder be aware of the current level of risk exposure , project 
 work should be continuously monitor for new , change , and outdated individual project risk and for change in 
 the level of overall project risk by apply the monitor risk process . the monitor risk process use performance 
 information generate during project execution to determine if : 
  implement risk response be effective , 
  level of overall project risk have change , 
  status of identify individual project risk have change , 
  new individual project risk have arise , 
  risk management approach be still appropriate , 
  project assumption be still valid , 
  risk management policy and procedure be be follow , 
  contingency reserve for cost or schedule require modification , and 
  project strategy be still valid . 
 ",the process of monitor the implementation of agree - upon risk response plan,[],be,"['strategy for overall project risk', 'identify risk', 'plan risk response']","['risk', 'process', 'monitor', 'project', 'analyze']"
project management plan,"describe in section 4.2.3.1 . project management plan component include but be not limit to the risk 
 management plan . describe in section 11.3.1.1 . the risk management plan provide guidance on how and when 
 risk should be review , which policy and procedure should be follow , the role and responsibility in the 
 monitoring process , and reporting format . 
 ",risk,"['project management plan', 'project management plan', 'project management plan', 'project management plan', 'project management plan', 'project management plan update', 'project management plan', 'project management plan update']",be,"['risk management plan', 'project management plan', 'project management plan']","['guidance', 'risk', 'section', 'plan', 'policy']"
project document,"project document that should be consider as input for this process include but be not limit to : 
  issue log . describe in section 4.3.3.3 . the issue log be use to see if any of the open issue have be update 
 and necessitate an update to the risk register . 
  lesson learn register . describe in section 4.4.3.1 . risk - relate lesson from early in the project can be 
 apply to later phase in the project . 
  risk register . describe in section 11.2.3.1 . the risk register have key input that include identify individual 
 project risk , risk owner , agree - upon risk response , and specific implementation action . it may also provide 
 other detail include control action for assess the effectiveness of response plan , symptom and warning 
 sign of risk , residual and secondary risk , and a watch list of low - priority risk . 
  risk report . describe in section 11.2.3.2 . the risk report include an assessment of the current overall project 
 risk exposure as well as the agree - upon risk response strategy . it also describe the major individual risk with 
 plan response and risk owner . 
 ",issue log,"['project document', 'project document', 'project document update', 'project document', 'project document update', 'project document', 'project document update', 'project document', 'project document update', 'project document', 'project document update', 'project document update']",be,"['plan risk response', 'risk report', 'strategy for overall project risk']","['risk', 'assessment', 'assess', 'warning', 'project']"
work performance datum,"describe in section 4.3.3.2 . work performance datum contain datum on project status such as risk response that 
 have be implement , risk that have occur , risk that be active and those that have be close out . 
 ",datum on project status,['work performance information'],have,"['datum gathering', 'datum gathering', 'datum gathering']","['datum', 'performance', 'section', 'risk', 'status']"
work performance report,"describe in section 4 5.3.1 . work performance report provide information from performance measurement that 
 can be analyze to provide project work performance information include variance analysis , earn value datum , and 
 forecasting datum . this information could be relevant when monitor performance - relate risk . 
 ",performance measurement,['work performance information'],provide,"['work performance datum', 'work performance report', 'datum analysis']","['performance', 'analysis', 'information', 'analyze', 'variance']"
datum analysis,"datum analysis technique that can be use for this process include but be not limit to : 
  technical performance analysis . technical performance analysis compare technical accomplishment during 
 project execution to the schedule of technical achievement . it require the definition of objective , quantifiable 
 measure of technical performance , which can be use to compare actual result against target . such technical 
 performance measure may include weight , transaction time , number of deliver defect , storage capacity , 
 etc . deviation can indicate the potential impact of threat or opportunity . 
  reserve analysis . describe in section 7.2.2.6 . throughout execution of the project , some individual project 
 risk may occur with positive or negative impact on budget or schedule contingency reserve . reserve analysis 
 compare the amount of the contingency reserve remain to the amount of risk remain at any time in the 
 project in order to determine if the remain reserve be adequate . this may be communicate use various 
 graphical representation , include a burndown chart . 
 ","objective , quantifiable","['datum analysis', 'datum analysis', 'datum analysis']",be,"['datum analysis', 'datum analysis', 'datum analysis']","['analysis', 'reserve', 'performance', 'contingency', 'datum']"
audits,"describe in section 8.2.2.5 . risk audits be a type of audit that may be use to consider the effectiveness of the risk 
 management process . the project manager be responsible for ensure that risk audits be perform at an appropriate 
 frequency , as define in the project ’s risk management plan . risk audits may be include during routine project review 
 meeting or may form part of a risk review meeting , or the team may choose to hold separate risk audit meeting . the 
 format for the risk audit and its objective should be clearly define before the audit be conduct . 
 ",risk audits,[],be,"['meeting', 'meeting', 'meeting']","['audits', 'audit', 'risk', 'management', 'review']"
meeting,"meeting that can be use during this process include but be not limited to risk review . risk review be schedule 
 regularly and should examine and document the effectiveness of risk response in deal with overall project risk 
 and with identify individual project risk . risk review may also result in identification of new individual project risk , 
 ( include secondary risk that arise from agree - upon risk response ) , reassessment of current risk , the closing of 
 risk that be outdated , issue that have arise as the result of risk that have occur , and identification of lesson 
 to be learn for implementation in ongoing phase in the current project or in similar project in the future . the risk 
 review may be conduct as part of a periodic project status meeting or a dedicated risk review meeting may be hold , 
 as specify in the risk management plan . 
 ",risk review,"['meeting', 'meeting', 'meeting']",be,"['meeting', 'meeting', 'meeting']","['risk', 'meeting', 'project', 'management', 'review']"
work performance information,"describe in section 4.5.1.3 . work performance information include information on how project risk management 
 be perform by compare the individual risk that have occur with the expectation of how they would occur . this 
 information indicate the effectiveness of the response planning and response implementation process . 
 ",information on how project risk management,"['work performance datum', 'work performance report']",occur,"['work performance datum', 'work performance report', 'project management information system ( pmis )']","['performance', 'information', 'management', 'planning', 'effectiveness']"
change request,"describe in section 4.3.3.4 . the monitor risk process may result in a change request to the cost and schedule 
 baseline or other component of the project management plan . change request be process for review and 
 disposition through the perform integrate change control process ( section 4.6 ) . 
 change request can include recommend corrective and preventive action to address the current level of overall 
 project risk or to address individual project risk . 
 ","process for review and 
 disposition through the perform integrate change control process","['change request', 'change request']",address,"['change request', 'change request', 'monitor risk']","['process', 'risk', 'monitor', 'change', 'review']"
project management plan update,"any change to the project management plan go through the organization ’s change control process via a change 
 request . this may affect any component of the project management plan . 
 ","change 
 request","['project management plan', 'project management plan', 'project management plan', 'project management plan', 'project management plan', 'project management plan update', 'project management plan', 'project management plan']",go,"['change request', 'change request', 'project management plan']","['change', 'management', 'plan', 'organization', 'project']"
project document update,"project document that may be update as a result of carry out this process include but be not limit to : 
  assumption log . describe in section 4.1.3.2 . during the monitor risk process , new assumption may be 
 make , new constraint may be identify , and exist assumption or constraint may be revisit and change . 
 the assumption log be update with this new information . 
  issue log . describe in section 4.3.3.3 . where issue be identify as part of the monitor risk process , these 
 be record in the issue log . 
  lesson learn register . describe in section 4.4.3.1 . the lesson learn register be update with any risk- 
 relate lesson learn during risk review so these can be use on later phase of the project or in future 
 project . 
  risk register . describe in section 11.2.3.1 . the risk register be update with information on individual project 
 risk generate during the monitor risk process . this may include add new risk , update outdated risk or 
 risk that be realize , update risk response , and so forth . 
  risk report . describe in section 11.2.3.2 . as new information become available through the monitor risk 
 process , the risk report be update to reflect the current status of major individual project risk and the current 
 level of overall project risk . the risk report may also include detail of the top individual project risk , agreed- 
 upon response and owner , and conclusion and recommendation . it may also include conclusion from risk 
 audits on the effectiveness of the risk management process . 
 ",assumption log,"['project document', 'project document', 'project document update', 'project document', 'project document update', 'project document', 'project document update', 'project document', 'project document update', 'project document', 'project document update', 'project document']",be,"['project document update', 'project document update', 'project document update']","['risk', 'lesson', 'audits', 'document', 'information']"
